this is the flight recordings. all parameters divided by TABs 
sim zulu time 	LAT 	LONG 	MSL alt 	radio alt 	baro alt 	baro press 	V/S 	IAS 	G-load 	aileron deg 	elevator deg 	rudder deg 	roll deg 	pitch deg 	mag course 	torque L 	torque R 	throt L 	throt R 	flaps pos 	single commands and failures 	

17:19:25	61.443058	21.853899	170.2	160.2	163.3	756	-1.8	181.7	0.92	0	0	0	0.2	0.4	295.4	51.7	51.7	48	48	38	props_nostop,  LG_down,  
17:19:26	61.443314	21.853046	169.3	158.7	162.4	756	-1.2	196.5	1.14	0	0	0	-0.2	-2.2	294.8	51.7	51.7	48	48	38	props_nostop,  LG_down,  
17:20:01	61.452301	21.823977	85.1	68.7	78.3	756	-1.6	189.8	1.05	0	0	0	1.7	-3	308.1	52.1	52.1	49	49	38	props_nostop,  LG_down,  
17:20:02	61.452648	21.823261	83.6	67.1	76.7	756	-1.6	191.1	0.75	0	0	0	2.3	-5.7	308.4	52.2	52.2	49	49	38	props_nostop,  LG_down,  
17:20:03	61.452991	21.822557	80.4	64.1	73.7	756	-2.6	186.4	0.86	0	0	0	5.6	-7.2	308	51.9	51.9	41	41	38	props_nostop,  LG_down,  
17:20:04	61.453342	21.821856	75.4	59.3	68.8	756	-4.2	184.2	0.83	0	0	0	4.6	-8.3	308.5	46.1	46.1	39	39	38	props_nostop,  LG_down,  
17:20:05	61.453693	21.821161	69.1	52.3	62.5	756	-5.5	195.6	0.82	0	0	0	1.9	-9.6	309.4	43.7	43.7	39	39	38	props_nostop,  LG_down,  
17:20:06	61.454056	21.82045	62.3	45.8	55.7	756	-6.2	197.4	0.9	0	0	0	0.1	-8.8	309.3	43	43	39	39	38	props_nostop,  LG_down,  
17:20:07	61.454418	21.819733	55.8	39.4	49.2	756	-6.3	197.6	1.14	0	0	0	-2.2	-6.8	310.3	42.7	42.7	39	39	38	props_nostop,  LG_down,  
17:20:08	61.454784	21.818991	50.6	33.6	43.9	756	-5.4	200.5	1.28	0	0	0	-6.9	-4.6	308.5	42.4	42.4	39	39	38	props_nostop,  LG_down,  
17:20:09	61.455139	21.818239	46.8	30.5	40	756	-4.4	198.4	1.2	0	0	0	-8.6	-4.8	307	42.4	42.4	39	39	38	props_nostop,  LG_down,  
17:20:10	61.455471	21.817478	43.7	27.5	36.9	756	-3.5	199.1	0.9	0	0	0	-9.1	-4.1	305.3	42.7	42.7	42	42	38	props_nostop,  LG_down,  
17:20:11	61.455795	21.816687	40.9	24.4	34.1	756	-2.9	194.2	1.12	0	0	0	-9.6	-1.7	302	43.7	43.7	42	42	38	props_nostop,  LG_down,  
17:20:12	61.4561	21.815884	39.5	22.9	32.6	756	-1.9	193.3	1.15	0	0	0	-0.5	-1.1	301	44.2	44.2	42	42	38	props_nostop,  LG_down,  
17:20:13	61.456406	21.815079	38.9	22.9	32	756	-1.1	185.6	1.03	0	0	0	2.1	-2	299.1	42.7	42.7	36	36	38	props_nostop,  LG_down,  
17:20:14	61.456699	21.814295	37.9	21.4	31	756	-1.1	191.7	1.06	0	0	0	4.4	-1.3	302.3	41	41	36	36	38	props_nostop,  LG_down,  
17:20:15	61.457001	21.813501	36.6	19.8	29.8	756	-1.2	191.6	1.06	0	0	0	-0.2	-1.4	303.1	39.5	39.5	31	31	38	props_nostop,  LG_down,  
17:20:16	61.457294	21.812717	35	18.3	28.1	756	-1.5	177.8	0.88	0	0	0	-5.1	-2.6	302.4	34.3	34.3	29	29	38	props_nostop,  LG_down,  
