|4||   |L
E46  |4|880|   |L
E46  |4|871|   |L
SSOK |4|.21|   |L
1RSU |4|532|   |L
1RSU |4|528|   |L
1T1  |4|655|   |L
1T1  |4|500|   |L
NM47 |4|778|   |L
NM47 |4|782|   |L
NM47 |4|782|   |L
SAWT |4|.59|   |L
SAWT |4|.60|   |L
SAWT |5|TWR  118.20
SAWT |4||   |L
SAWT |4||HRD|L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||HRD|L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||TRF|L
SAWT |4||   |L
SAWT |4||   |L
SAWT |4||   |L
OG00 |4|555|   |L
CA54 |4|710|   |L
96GA |4|189|   |L
7I6  |4|827|   |L
9M9  |4|410|   |L
XS50 |4|384|   |L
XS50 |4|386|   |L
4S9  |4|220|   |L
4S9  |5|UNIC 123.05
4S9  |5|CLR  119.95
PA81 |4|913|   |L
1OK8 |4|733|   |L
63KS |4|329|   |L
73WA |4|854|   |L
PS53 |4|637|   |L
81CA |4|722|   |L
CL25 |4|937|   |L
FD02 |4|488|   |L
96KY |4|552|   |L
RKSG |4|969|   |L
RKSG |5|GRND 119.50
RKSG |5|TWR  122.50
RKSG |5|APR  127.90
WY11 |4|164|HRD|L
WY11 |5|UNIC 122.80
LECO |4|294|   |L
LECO |5|GRND 121.70
LECO |5|TWR  118.30
LECO |5|APR  120.20
LECO |4||   |L
LECO |4||   |L
LECO |4||   |L
LECO |4||   |L
LECO |4||   |L
LECO |4||HRD|L
LECO |4||   |L
LECO |4||   |L
LECO |4||   |L
LECO |4||HRD|L
LECO |4||   |L
LECO |4||   |L
LECO |4||   |L
LECO |4||   |L
LECO |4||   |L
61PN |4|422|   |L
KOCH |4|584|   |L
KOCH |5|ATIS 135.62
KOCH |5|UNIC 123.00
KAPH |4|066|   |L
KAPH |5|APR  134.70
TX27 |4|861|   |L
XS79 |4|261|   |L
U23  |4|117|   |L
U23  |4|124|   |L
XS39 |4|536|   |L
XS39 |4|538|   |L
MI21 |4|735|   |L
7Y7  |4|670|   |L
EGVP |4|145|   |L
EGVP |4|148|   |L
EGVP |4|146|   |L
EGVP |5|TWR  118.27
EGVP |5|APR  123.30
OIAA |4|.37|   |L
OIAA |4|.37|   |L
OIAA |5|ATIS 126.85
OIAA |5|TWR  121.80
OIAA |5|TWR  118.10
SNLI |4|.15|   |L
UNAA |4|.72|   |L
UNAA |4|.73|   |L
UNAA |4|.74|   |L
UNAA |5|ATIS 126.20
UNAA |5|TWR  122.00
UNAA |5|APR  134.30
SDLI |4|.73|   |L
0R3  |4|982|   |L
0R3  |5|UNIC 122.80
0R3  |5|APR  121.10
FTTC |4|847|   |L
FTTC |5|TWR  118.10
MUSC |4|488|   |L
MUSC |5|TWR  118.10
31VA |4|012|   |L
31VA |5|UNIC 122.75
U36  |4|920|   |L
U36  |5|UNIC 122.90
U36  |4||   |L
U36  |4||HRD|L
U36  |4||   |L
U36  |4||   |L
U36  |4||   |L
U36  |4||TRF|L
U36  |4||   |L
U36  |4||   |L
KABR |4|455|   |L
KABR |4|455|   |L
KABR |5|ATIS 125.87
KABR |5|UNIC 122.70
KABR |5|UNIC 122.95
KGZS |4|159|   |L
KGZS |5|ATIS 118.27
KGZS |5|UNIC 122.80
F83  |4|851|   |L
F83  |4|843|   |L
F83  |5|UNIC 122.90
OEAB |4|249|   |L
OEAB |5|GRND 121.70
OEAB |5|TWR  118.10
OEAB |5|APR  124.50
K78  |4|909|   |L
K78  |5|UNIC 122.80
KABI |4|.42|   |L
KABI |4|.40|   |L
KABI |4|419|   |L
KABI |5|ATIS 118.25
KABI |5|UNIC 122.95
KABI |5|GRND 121.70
KABI |5|TWR  120.10
KABI |5|APR  127.20
KABI |5|APR  125.00
OEBQ |4|918|   |L
OEBQ |5|UNIC 122.80
MMCS |4|628|   |L
MMCS |4|643|   |L
MMCS |5|TWR  118.90
MMCS |5|APR  119.90
4D0  |4|775|   |L
4D0  |4|777|   |L
4D0  |5|UNIC 122.70
4D0  |5|APR  118.65
OS57 |4|732|   |L
OEAA |4|324|   |L
OMAA |4|444|   |L
OMAA |5|ATIS 125.10
OMAA |5|TWR  119.20
OMAA |5|TWR  121.75
OMAA |5|APR  124.40
OMAA |5|APR  128.10
OM11 |4|525|   |L
VA74 |4|493|   |L
HE29 |4|904|   |L
HE29 |5|UNIC 123.50
HE29 |5|UNIC 118.50
HEBL |4|387|   |L
